,city_id,temperature,humidity,date,pressure
172,Donetsk,12.4,93,2023-11-03,990.0
173,Donetsk,15.2,96,2023-11-04,989.0
174,Donetsk,16.1,100,2023-11-05,984.8
175,Donetsk,14.4,97,2023-11-06,987.3
176,Donetsk,14.8,88,2023-11-07,996.4
177,Donetsk,14.1,98,2023-11-08,996.8
178,Donetsk,13.2,95,2023-11-09,994.2
179,Donetsk,9.5,97,2023-11-10,1000.2
180,Donetsk,8.1,100,2023-11-11,998.0
181,Donetsk,15.0,98,2023-11-12,985.4
182,Donetsk,9.9,88,2023-11-13,990.6
183,Donetsk,9.1,95,2023-11-14,988.8
184,Donetsk,9.4,96,2023-11-15,981.4
185,Donetsk,10.2,97,2023-11-16,984.7
186,Donetsk,6.2,96,2023-11-17,990.8
187,Donetsk,4.4,95,2023-11-18,991.4
188,Donetsk,4.2,94,2023-11-19,988.9
189,Donetsk,2.2,97,2023-11-20,981.4
190,Donetsk,-2.3,82,2023-11-21,992.3
191,Donetsk,-2.7,79,2023-11-22,993.3
192,Zaporizhzhia,18.4,95,2023-10-22,1007.7
193,Zaporizhzhia,22.8,93,2023-10-23,1004.6
194,Zaporizhzhia,16.9,86,2023-10-24,1006.7
195,Zaporizhzhia,12.7,91,2023-10-25,1006.2
196,Zaporizhzhia,17.6,98,2023-10-26,995.4
197,Zaporizhzhia,20.1,97,2023-10-27,993.2
198,Zaporizhzhia,20.1,95,2023-10-28,1000.6
199,Zaporizhzhia,18.0,92,2023-10-29,1011.4
200,Zaporizhzhia,19.7,94,2023-10-30,1013.4
201,Zaporizhzhia,19.3,95,2023-10-31,1010.6
202,Zaporizhzhia,19.2,96,2023-11-01,1004.6
203,Zaporizhzhia,13.2,94,2023-11-02,1004.9
204,Zaporizhzhia,12.4,96,2023-11-03,1004.6
205,Zaporizhzhia,18.0,97,2023-11-04,999.9
206,Zaporizhzhia,17.5,88,2023-11-05,995.1
207,Zaporizhzhia,17.2,94,2023-11-06,1003.6
208,Zaporizhzhia,16.6,87,2023-11-07,1011.6
209,Zaporizhzhia,14.8,95,2023-11-08,1011.5
210,Zaporizhzhia,12.4,94,2023-11-09,1011.7
211,Zaporizhzhia,11.0,99,2023-11-10,1016.0
212,Zaporizhzhia,14.1,92,2023-11-11,1010.8
213,Zaporizhzhia,14.3,90,2023-11-12,1000.5
214,Zaporizhzhia,9.7,94,2023-11-13,1006.2
215,Zaporizhzhia,10.3,100,2023-11-14,1004.8
216,Zaporizhzhia,10.3,93,2023-11-15,997.1
217,Zaporizhzhia,9.9,94,2023-11-16,1002.8
218,Zaporizhzhia,5.8,94,2023-11-17,1006.9
219,Zaporizhzhia,6.0,94,2023-11-18,1005.6
220,Zaporizhzhia,3.6,100,2023-11-19,1002.6
221,Zaporizhzhia,1.1,92,2023-11-20,999.7
222,Zaporizhzhia,0.6,83,2023-11-21,1008.8
223,Zaporizhzhia,-0.9,86,2023-11-22,1010.0
